"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14751","HomePageLoadsSuccessfully","","Fri Jan 24 12:16:55 GMT 2025","passed","Fri Jan 24 12:17:10 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","11959","UserRegistration_ShouldSucceed","","Fri Jan 24 12:17:20 GMT 2025","passed","Fri Jan 24 12:17:32 GMT 2025","","www.menkind.co.uk.Tests.RegistrationTests","www.menkind.co.uk.Tests.RegistrationTests",""
"","9951","LoginSuccessful","","Fri Jan 24 12:17:10 GMT 2025","passed","Fri Jan 24 12:17:20 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
