"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","UserRegistration_ShouldSucceed","","Wed Jan 29 21:12:04 GMT 2025","failed","Wed Jan 29 21:12:05 GMT 2025","","www.menkind.co.uk.Tests.RegistrationTests","www.menkind.co.uk.Tests.RegistrationTests",""
"","772","HomePageLoadsSuccessfully","","Wed Jan 29 21:12:03 GMT 2025","failed","Wed Jan 29 21:12:04 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","176","LoginSuccessful","","Wed Jan 29 21:12:04 GMT 2025","failed","Wed Jan 29 21:12:04 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
