"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17816","AddItemToCart_ShouldUpdateCartIcon","","Mon Feb 10 13:41:41 GMT 2025","passed","Mon Feb 10 13:41:59 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","19405","HomePageLoadsSuccessfully","","Mon Feb 10 13:41:41 GMT 2025","failed","Mon Feb 10 13:42:00 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
