"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14570","ScreenshotTest","","Fri Mar 21 11:28:43 GMT 2025","passed","Fri Mar 21 11:28:58 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","21599","SoldItem_ShouldCauseOOSmessage","","Fri Mar 21 11:28:44 GMT 2025","passed","Fri Mar 21 11:29:06 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","32349","AddItemToCart_ShouldUpdateCartIcon","","Fri Mar 21 11:28:12 GMT 2025","passed","Fri Mar 21 11:28:44 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","31218","UserRegistration_ShouldSucceed","","Fri Mar 21 11:28:12 GMT 2025","passed","Fri Mar 21 11:28:43 GMT 2025","","www.menkind.co.uk.Tests.RegistrationTests","www.menkind.co.uk.Tests.RegistrationTests",""
"","27229","HomePageLoadsSuccessfully","","Fri Mar 21 11:28:12 GMT 2025","passed","Fri Mar 21 11:28:39 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","21110","VerifySearchFilters","","Fri Mar 21 11:28:45 GMT 2025","failed","Fri Mar 21 11:29:06 GMT 2025","","www.menkind.co.uk.Tests.SearchTests","www.menkind.co.uk.Tests.SearchTests",""
"","33257","SearchFrame_ShouldDisplayResults_CloseAfterOutsideClick","","Fri Mar 21 11:28:12 GMT 2025","passed","Fri Mar 21 11:28:45 GMT 2025","","www.menkind.co.uk.Tests.SearchTests","www.menkind.co.uk.Tests.SearchTests",""
"","22121","LoginSuccessful","","Fri Mar 21 11:28:39 GMT 2025","passed","Fri Mar 21 11:29:01 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
