"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33184","HomePageLoadsSuccessfully","","Tue Feb 18 12:24:01 GMT 2025","passed","Tue Feb 18 12:24:35 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","35925","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 12:24:01 GMT 2025","passed","Tue Feb 18 12:24:37 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","33276","ScreenshotTest","","Tue Feb 18 12:24:01 GMT 2025","passed","Tue Feb 18 12:24:35 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
