"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37706","HomePageLoadsSuccessfully","","Tue Feb 18 13:48:06 GMT 2025","passed","Tue Feb 18 13:48:44 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","38615","ScreenshotTest","","Tue Feb 18 13:48:06 GMT 2025","passed","Tue Feb 18 13:48:44 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","41594","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 13:48:06 GMT 2025","passed","Tue Feb 18 13:48:47 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
