"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17588","ScreenshotTest","","Mon Feb 17 13:28:55 GMT 2025","passed","Mon Feb 17 13:29:13 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","19830","AddItemToCart_ShouldUpdateCartIcon","","Mon Feb 17 13:28:55 GMT 2025","passed","Mon Feb 17 13:29:15 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","16601","HomePageLoadsSuccessfully","","Mon Feb 17 13:28:55 GMT 2025","passed","Mon Feb 17 13:29:12 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
