"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","181","AddItemToCart_ShouldUpdateCartIcon","","Mon Feb 03 08:26:48 GMT 2025","failed","Mon Feb 03 08:26:48 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","177","UserRegistration_ShouldSucceed","","Mon Feb 03 08:26:48 GMT 2025","failed","Mon Feb 03 08:26:48 GMT 2025","","www.menkind.co.uk.Tests.RegistrationTests","www.menkind.co.uk.Tests.RegistrationTests",""
"","231","SoldItem_ShouldCauseOOSmessage","","Mon Feb 03 08:26:48 GMT 2025","failed","Mon Feb 03 08:26:48 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","185","LoginSuccessful","","Mon Feb 03 08:26:47 GMT 2025","failed","Mon Feb 03 08:26:47 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","11786","HomePageLoadsSuccessfully","","Mon Feb 03 08:26:36 GMT 2025","failed","Mon Feb 03 08:26:47 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
