"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20999","AddItemToCart_ShouldUpdateCartIcon","","Mon Feb 17 12:52:13 GMT 2025","passed","Mon Feb 17 12:52:34 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","16831","HomePageLoadsSuccessfully","","Mon Feb 17 12:52:13 GMT 2025","passed","Mon Feb 17 12:52:30 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","18788","ScreenshotTest","","Mon Feb 17 12:52:13 GMT 2025","passed","Mon Feb 17 12:52:32 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
