"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20659","AddItemToCart_ShouldUpdateCartIcon","","Mon Feb 17 11:42:37 GMT 2025","passed","Mon Feb 17 11:42:58 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","22409","SoldItem_ShouldCauseOOSmessage","","Mon Feb 17 11:42:37 GMT 2025","passed","Mon Feb 17 11:43:00 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","17739","ScreenshotTest","","Mon Feb 17 11:42:37 GMT 2025","passed","Mon Feb 17 11:42:55 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
