"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26923","ScreenshotTest","","Tue Feb 18 12:15:16 GMT 2025","passed","Tue Feb 18 12:15:43 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","25266","HomePageLoadsSuccessfully","","Tue Feb 18 12:15:16 GMT 2025","passed","Tue Feb 18 12:15:41 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","28958","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 12:15:16 GMT 2025","passed","Tue Feb 18 12:15:45 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
