"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17531","HomePageLoadsSuccessfully","","Tue Feb 18 09:20:54 GMT 2025","passed","Tue Feb 18 09:21:12 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","18927","ScreenshotTest","","Tue Feb 18 09:20:54 GMT 2025","passed","Tue Feb 18 09:21:13 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","21831","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 09:20:54 GMT 2025","passed","Tue Feb 18 09:21:16 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
