"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17996","ScreenshotTest","","Tue Feb 18 13:22:14 GMT 2025","passed","Tue Feb 18 13:22:32 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","20339","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 13:22:14 GMT 2025","passed","Tue Feb 18 13:22:34 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","16878","HomePageLoadsSuccessfully","","Tue Feb 18 13:22:14 GMT 2025","passed","Tue Feb 18 13:22:31 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
