"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20715","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 12:11:06 GMT 2025","passed","Tue Feb 18 12:11:26 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","18320","ScreenshotTest","","Tue Feb 18 12:11:06 GMT 2025","passed","Tue Feb 18 12:11:24 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","16291","HomePageLoadsSuccessfully","","Tue Feb 18 12:11:06 GMT 2025","passed","Tue Feb 18 12:11:22 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
