"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17394","HomePageLoadsSuccessfully","","Tue Feb 18 09:18:03 GMT 2025","passed","Tue Feb 18 09:18:21 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","21259","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 09:18:03 GMT 2025","passed","Tue Feb 18 09:18:25 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","17353","ScreenshotTest","","Tue Feb 18 09:18:03 GMT 2025","passed","Tue Feb 18 09:18:21 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
