"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20979","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 06:35:44 GMT 2025","passed","Tue Feb 18 06:36:05 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","16953","HomePageLoadsSuccessfully","","Tue Feb 18 06:35:44 GMT 2025","passed","Tue Feb 18 06:36:01 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","18289","ScreenshotTest","","Tue Feb 18 06:35:44 GMT 2025","passed","Tue Feb 18 06:36:02 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
