"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18501","ScreenshotTest","","Tue Feb 18 12:07:15 GMT 2025","passed","Tue Feb 18 12:07:33 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","21103","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 12:07:15 GMT 2025","passed","Tue Feb 18 12:07:36 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","17491","HomePageLoadsSuccessfully","","Tue Feb 18 12:07:15 GMT 2025","passed","Tue Feb 18 12:07:32 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
