"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16676","HomePageLoadsSuccessfully","","Mon Feb 17 11:51:59 GMT 2025","passed","Mon Feb 17 11:52:16 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","17371","ScreenshotTest","","Mon Feb 17 11:51:59 GMT 2025","passed","Mon Feb 17 11:52:16 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","20169","AddItemToCart_ShouldUpdateCartIcon","","Mon Feb 17 11:51:59 GMT 2025","passed","Mon Feb 17 11:52:19 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
