"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22444","ScreenshotTest","","Mon Feb 17 13:29:21 GMT 2025","passed","Mon Feb 17 13:29:43 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","25150","AddItemToCart_ShouldUpdateCartIcon","","Mon Feb 17 13:29:21 GMT 2025","passed","Mon Feb 17 13:29:46 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","21722","HomePageLoadsSuccessfully","","Mon Feb 17 13:29:21 GMT 2025","passed","Mon Feb 17 13:29:43 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
