"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22660","AddItemToCart_ShouldUpdateCartIcon","","Tue Feb 18 09:13:47 GMT 2025","passed","Tue Feb 18 09:14:10 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","17773","HomePageLoadsSuccessfully","","Tue Feb 18 09:13:47 GMT 2025","passed","Tue Feb 18 09:14:05 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","19606","ScreenshotTest","","Tue Feb 18 09:13:47 GMT 2025","passed","Tue Feb 18 09:14:07 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
