"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36338","UserRegistration_ShouldSucceed","","Fri Mar 21 12:32:47 GMT 2025","passed","Fri Mar 21 12:33:23 GMT 2025","","www.menkind.co.uk.Tests.RegistrationTests","www.menkind.co.uk.Tests.RegistrationTests",""
"","19355","VerifySearchFilters","","Fri Mar 21 12:33:23 GMT 2025","failed","Fri Mar 21 12:33:43 GMT 2025","","www.menkind.co.uk.Tests.SearchTests","www.menkind.co.uk.Tests.SearchTests",""
"","37529","AddItemToCart_ShouldUpdateCartIcon","","Fri Mar 21 12:32:47 GMT 2025","passed","Fri Mar 21 12:33:24 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","22467","SearchFrame_ShouldDisplayResults_CloseAfterOutsideClick","","Fri Mar 21 12:33:20 GMT 2025","passed","Fri Mar 21 12:33:42 GMT 2025","","www.menkind.co.uk.Tests.SearchTests","www.menkind.co.uk.Tests.SearchTests",""
"","20223","LoginSuccessful","","Fri Mar 21 12:33:25 GMT 2025","passed","Fri Mar 21 12:33:45 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","15717","HomePageLoadsSuccessfully","","Fri Mar 21 12:33:24 GMT 2025","passed","Fri Mar 21 12:33:40 GMT 2025","","www.menkind.co.uk.Tests.HomePageTests","www.menkind.co.uk.Tests.HomePageTests",""
"","32566","ScreenshotTest","","Fri Mar 21 12:32:47 GMT 2025","passed","Fri Mar 21 12:33:20 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","38254","SoldItem_ShouldCauseOOSmessage","","Fri Mar 21 12:32:47 GMT 2025","passed","Fri Mar 21 12:33:25 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
