"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20500","SoldItem_ShouldCauseOOSmessage","","Mon Feb 17 11:54:47 GMT 2025","passed","Mon Feb 17 11:55:07 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","18457","ScreenshotTest","","Mon Feb 17 11:54:47 GMT 2025","passed","Mon Feb 17 11:55:05 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
"","20771","AddItemToCart_ShouldUpdateCartIcon","","Mon Feb 17 11:54:47 GMT 2025","passed","Mon Feb 17 11:55:07 GMT 2025","","www.menkind.co.uk.Tests.ProductPageTests","www.menkind.co.uk.Tests.ProductPageTests",""
